,,,,,BI,BI,BI,PD,PD,PD,PIP,PIP,PIP,COMP,COMP,COMP,COLL,COLL,COLL,BI,PD,PIP,COMP,COLL,BI,PD,PIP,COMP,COLL,BI,PD,PIP,COMP,COLL,,,BI,PD,PIP,COMP,COLL,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,NJ,2012.0000000000,Q1,2012 Q1,915604.0000000000,139696646.0000000000,4491.0000000000,915604.0000000000,122790588.0000000000,36461.0000000000,915604.0000000000,184387358.0000000000,19417.0000000000,736127.0000000000,29207912.0000000000,24258.0000000000,697249.0000000000,140654270.0000000000,42928.0000000000,0.0049049589,0.0398218007,0.0212067662,0.0329535529,0.0615676752,31105.9109329771,3367.7240887524,9496.1815934490,1204.0527660978,3276.5157938874,152.5732150580,134.1088374450,201.3833032621,39.6778164637,201.7274603477,12243.6116459983,1.1607646008,0.0056935027,0.0462237366,0.0246160636,0.0382513176,0.0714655780,0.9183186968,0.0816813032,4071.5872579386,30.4000000000,32.6750000000,0.2936279468,0.6559856044,0.3440143956,0.0327197826,0.0712617458,0.8031997381,14.4450000000,#REF!,960624.2375283820,423713.9175048110,38.4651171516,8.4662026151,4.8936809691,0.0043475000,0.0320831090,Choice No-Fault,Proportional Comparative Fault 51%,C,5992999.2500000000,85265.2882500000,70.2865066547
New Mexico,NM,2012.0000000000,Q1,2012 Q1,242928.0000000000,24363953.0000000000,2347.0000000000,242928.0000000000,22334807.0000000000,7402.0000000000,0.0000000000,0.0000000000,0.0000000000,166126.0000000000,8385570.0000000000,10957.0000000000,160658.0000000000,24138360.0000000000,7425.0000000000,0.0096612988,0.0304699335,0.0000000000,0.0659559611,0.0462161859,10380.8917767363,3017.4016482032,0.0000000000,765.3162361960,3250.9575757576,100.2928974840,91.9400274979,0.0000000000,50.4771679328,150.2468597891,18027.9365117031,0.7883293230,0.0076162852,0.0240203420,0.0000000000,0.0519950182,0.0364335746,0.4176825765,0.5823174235,2521.1932132059,20.4250000000,24.9750000000,0.2540002533,0.9150318458,0.0849681542,0.0206116592,0.0551158404,0.8955171874,2.5350000000,#REF!,595875.3381859670,119157.4910544590,19.1342650485,1.3337242415,0.8918950861,0.0078300000,0.0417581367,Tort,Pure Comparative Fault,N,1421599.5000000000,142836.2580000000,9.9526515179
New York,NY,2012.0000000000,Q1,2012 Q1,1759790.0000000000,290488979.0000000000,8907.0000000000,1759790.0000000000,254462829.0000000000,75629.0000000000,1759790.0000000000,241123004.0000000000,42013.0000000000,1421547.0000000000,87110809.0000000000,87524.0000000000,1298717.0000000000,308180334.0000000000,89926.0000000000,0.0050613994,0.0429761506,0.0238738713,0.0615695436,0.0692421829,32613.5600089817,3364.6197754830,5739.2474710209,995.2791120150,3427.0437248404,165.0702521324,144.5984060598,137.0180555634,61.2788806842,237.2959882715,11394.5275559719,1.2472611010,0.0063128866,0.0536024809,0.0297769510,0.0767932967,0.0863630812,0.7306381538,0.2693618462,5857.5875517942,32.3000000000,26.3750000000,0.2550509719,0.7152799817,0.2847200183,0.0298807971,0.0753050170,0.6059029571,13.0475000000,#REF!,871701.2046133280,255554.6710456340,26.4674274648,11.8480520952,3.1491126012,0.0031125000,0.0323623853,No-Fault,Pure Comparative Fault,C,11220241.5000000000,242619.3675000000,46.2462729815
North Carolina,NC,2012.0000000000,Q1,2012 Q1,1057548.0000000000,110390095.0000000000,10595.0000000000,1057548.0000000000,98545894.0000000000,34733.0000000000,0.0000000000,0.0000000000,0.0000000000,828260.0000000000,42934499.0000000000,44408.0000000000,765213.0000000000,108538739.0000000000,38474.0000000000,0.0100184578,0.0328429537,0.0000000000,0.0536160143,0.0502788113,10419.0745634733,2837.2410675726,0.0000000000,966.8190190957,2821.0931798097,104.3830587359,93.1833770193,0.0000000000,51.8369823485,141.8412115320,15776.4723008591,0.9008319930,0.0090249473,0.0295859834,0.0000000000,0.0482990210,0.0452927617,0.6368407992,0.3631592008,2370.9406715706,21.8750000000,25.7750000000,0.2728858310,0.8175241483,0.1824758517,0.0322615568,0.0638080456,0.9100310632,11.3650000000,#REF!,832382.4717003210,264583.5714558250,24.4894191262,7.2655869009,3.5718502635,0.0078825000,0.0398528044,Tort,Pure Contributory Negligence,N,6596429.0000000000,224346.3380000000,29.4028824308
North Dakota,ND,2012.0000000000,Q1,2012 Q1,69154.0000000000,1719858.0000000000,94.0000000000,69154.0000000000,5225593.0000000000,1915.0000000000,69154.0000000000,3017458.0000000000,595.0000000000,51033.0000000000,2495329.0000000000,2401.0000000000,50405.0000000000,6512064.0000000000,2248.0000000000,0.0013592851,0.0276918183,0.0086039853,0.0470479886,0.0445987501,18296.3617021277,2728.7691906005,5071.3579831933,1039.2873802582,2896.8256227758,24.8699713683,75.5645805015,43.6338895798,48.8963807732,129.1948021030,18983.9272502958,0.7486307126,0.0010176026,0.0207309456,0.0064412077,0.0352215692,0.0333879941,0.2551259433,0.7448740567,2219.0473949343,15.4500000000,19.3000000000,0.2943464143,0.9541171790,0.0458828210,0.0609108490,0.0782803178,0.8877398472,5.1125000000,#REF!,607614.8098408720,43719.8195420663,52.4673127022,3.5000838267,2.7662592798,0.0102525000,0.0402411174,No-Fault,Proportional Comparative Fault 50%,C,493311.2500000000,175995.8937500000,2.8029702255
Ohio,OH,2012.0000000000,Q1,2012 Q1,1106844.0000000000,96392137.0000000000,9312.0000000000,1106844.0000000000,103356719.0000000000,38914.0000000000,0.0000000000,0.0000000000,0.0000000000,967427.0000000000,47179391.0000000000,41235.0000000000,880390.0000000000,144617848.0000000000,48213.0000000000,0.0084131097,0.0351576193,0.0000000000,0.0426233711,0.0547632299,10351.3892826460,2656.0291668808,0.0000000000,1144.1588698921,2999.5612801527,87.0873736498,93.3796623553,0.0000000000,48.7679080695,164.2656640807,14042.1644286568,1.0120911955,0.0085148343,0.0355827170,0.0000000000,0.0431387386,0.0554253829,0.6897367386,0.3102632614,2703.8864821800,22.0250000000,26.5250000000,0.2606723267,0.7761601106,0.2238398894,0.0592454504,0.0714597315,0.9145651138,13.4375000000,#REF!,762519.0113488810,217554.6043920700,18.8206541906,3.8102477861,2.9040639912,0.0045475000,0.0402111187,Tort,Proportional Comparative Fault 51%,N,7988157.5000000000,262703.9795000000,30.4074476344
Oklahoma,OK,2012.0000000000,Q1,2012 Q1,410668.0000000000,40278481.0000000000,3738.0000000000,410668.0000000000,44895572.0000000000,15212.0000000000,0.0000000000,0.0000000000,0.0000000000,285288.0000000000,17494779.0000000000,9538.0000000000,280736.0000000000,48203847.0000000000,14045.0000000000,0.0091022432,0.0370420875,0.0000000000,0.0334328819,0.0500292089,10775.4095773141,2951.3260583750,0.0000000000,1834.2188089746,3432.1001779993,98.0803982779,109.3232781712,0.0000000000,61.3232207454,171.7052568962,20001.9487824336,0.7105283160,0.0064674015,0.0263194521,0.0000000000,0.0237550092,0.0355471696,0.5586255859,0.4413744141,2944.4727073145,19.1250000000,24.8500000000,0.2773558085,0.7632096714,0.2367903286,0.0646989526,0.0758337610,0.9276213240,7.9825000000,#REF!,735541.0958126210,106770.9930950700,35.4355868712,4.7149259141,1.1964035822,0.0060425000,0.0380116655,Tort,Proportional Comparative Fault 50%,N,2378071.7500000000,234251.9825000000,10.1517678724
Oregon,OR,2012.0000000000,Q1,2012 Q1,432924.0000000000,57072537.0000000000,5113.0000000000,432924.0000000000,38695672.0000000000,14058.0000000000,432924.0000000000,27729407.0000000000,9140.0000000000,371678.0000000000,14581564.0000000000,18100.0000000000,331242.0000000000,44129363.0000000000,14837.0000000000,0.0118103870,0.0324722122,0.0211122506,0.0486980666,0.0447920252,11162.2407588500,2752.5730544886,3033.8519693654,805.6112707182,2974.2780211633,131.8303836239,89.3821363565,64.0514432094,39.2317113200,133.2239359743,12017.4419767235,1.1826103269,0.0139670857,0.0384019735,0.0249675656,0.0575908365,0.0529715115,0.5876120520,0.4123879480,2849.8927527690,22.0250000000,25.0250000000,0.3080388485,0.7264332962,0.2735667038,0.0336662166,0.0723423411,0.8195803327,8.4550000000,#REF!,702136.3248364150,144642.5124486410,21.7517731629,8.3147468555,2.2732365209,0.0052775000,0.0404880190,Tort,Proportional Comparative Fault 51%,C,2772906.2500000000,122340.9855000000,22.6653908228
Pennsylvania,PA,2012.0000000000,Q1,2012 Q1,1617857.0000000000,149348320.0000000000,8240.0000000000,1617857.0000000000,177370569.0000000000,58196.0000000000,1617857.0000000000,101389856.0000000000,30922.0000000000,1383373.0000000000,84778894.0000000000,73937.0000000000,1279098.0000000000,241736912.0000000000,83805.0000000000,0.0050931572,0.0359710407,0.0191129377,0.0534469012,0.0655188265,18124.7961165049,3047.8137500859,3278.8906280318,1146.6369206216,2884.5165801563,92.3124355243,109.6330324621,62.6692322004,61.2841901642,188.9901414903,11253.6882001508,1.2628705125,0.0064319980,0.0454267666,0.0241371654,0.0674965155,0.0827417941,0.6278413859,0.3721586141,3518.8373639740,25.4750000000,27.6250000000,0.2470382894,0.7561805014,0.2438194986,0.0360536456,0.0818481033,0.8560038216,14.3325000000,#REF!,627647.0609610260,243572.6847558820,47.6743727082,13.6914797910,6.0696385943,0.0055275000,0.0403517072,Choice No-Fault,Proportional Comparative Fault 51%,C,8808227.2500000000,250002.0412500000,35.2326213256
Rhode Island,RI,2012.0000000000,Q1,2012 Q1,108412.0000000000,27505355.0000000000,1902.0000000000,107929.0000000000,17314265.0000000000,5204.0000000000,0.0000000000,0.0000000000,0.0000000000,82559.0000000000,3909491.0000000000,3946.0000000000,76523.0000000000,17600585.0000000000,5164.0000000000,0.0175441833,0.0482168833,0.0000000000,0.0477961216,0.0674829790,14461.2802313354,3327.1070330515,0.0000000000,990.7478459199,3408.3239736638,253.7113511419,160.4227316106,0.0000000000,47.3539044804,230.0038550501,10507.8384239322,1.3525094707,0.0237286741,0.0652137913,0.0000000000,0.0646447071,0.0912713682,0.8643982050,0.1356017950,3391.3744501012,23.1750000000,30.7125000000,0.2704705054,0.8447647249,0.1552352751,0.0327234943,0.0716360813,0.8860280162,13.0750000000,#REF!,605175.7544782590,420453.7744129290,34.1958289107,10.8719160790,3.8733988379,0.0033625000,0.0381513040,Tort,Pure Comparative Fault,N,749706.0000000000,13668.7055000000,54.8483541474
South Carolina,SC,2012.0000000000,Q1,2012 Q1,642881.0000000000,85859635.0000000000,7511.0000000000,642881.0000000000,64412375.0000000000,22573.0000000000,141290.0000000000,3604683.0000000000,2383.0000000000,501865.0000000000,35404520.0000000000,44807.0000000000,470566.0000000000,64100407.0000000000,22981.0000000000,0.0116833442,0.0351122525,0.0168660202,0.0892809819,0.0488369325,11431.1855944615,2853.5141540779,1512.6659672682,790.1560024103,2789.2784038989,133.5544758672,100.1933094927,25.5126548234,70.5459037789,136.2198012606,14270.3195567225,0.9959097922,0.0116355569,0.0349686361,0.0167970347,0.0889158042,0.0486371793,0.5262885515,0.4737114485,2847.4827327502,21.3000000000,27.1750000000,0.2445175286,0.8369631667,0.1630368333,0.0624656110,0.0630406472,0.9179270570,8.9950000000,#REF!,698467.5439375190,226258.9763195420,19.0823700627,7.8549069943,2.6340975907,0.0047450000,0.0381233523,Tort,Proportional Comparative Fault 51%,N,3420221.2500000000,139613.8570000000,24.4977205235
South Dakota,SD,2012.0000000000,Q1,2012 Q1,85954.0000000000,5830226.0000000000,375.0000000000,85954.0000000000,5754387.0000000000,2135.0000000000,0.0000000000,0.0000000000,0.0000000000,63359.0000000000,4789131.0000000000,4059.0000000000,62983.0000000000,7712279.0000000000,2454.0000000000,0.0043627987,0.0248388673,0.0000000000,0.0640635111,0.0389628947,15547.2693333333,2695.2632318501,0.0000000000,1179.8795269771,3142.7379788101,67.8296065337,66.9472857575,0.0000000000,75.5872251772,122.4501690932,14946.6448350583,0.9508455671,0.0041483478,0.0236179269,0.0000000000,0.0609145055,0.0370476958,0.2914084160,0.7085915840,1903.2116549310,14.9000000000,19.0250000000,0.2570632266,0.8041052248,0.1958947752,0.0734488938,0.0789000130,0.8794429490,5.2325000000,#REF!,395107.4644263980,40109.7522106933,45.8753586705,6.5750529957,4.2119499349,0.0089450000,0.0449321320,Tort,Pure Comparative Fault,O,604138.2500000000,167723.0422500000,3.6019991165
Tennessee,TN,2012.0000000000,Q1,2012 Q1,581024.0000000000,62103370.0000000000,4460.0000000000,581024.0000000000,58530697.0000000000,19302.0000000000,0.0000000000,0.0000000000,0.0000000000,469987.0000000000,76026623.0000000000,34042.0000000000,440017.0000000000,82278175.0000000000,24843.0000000000,0.0076761029,0.0332206587,0.0000000000,0.0724317907,0.0564591823,13924.5224215247,3032.3643663869,0.0000000000,2233.3183420481,3311.9258946182,106.8860666685,100.7371416671,0.0000000000,161.7632466430,186.9886277121,15568.1483628143,0.9128864046,0.0070074100,0.0303266877,0.0000000000,0.0661219970,0.0515408199,0.6250040084,0.3749959916,2030.3359334534,22.1500000000,27.8750000000,0.2605098884,0.9290916714,0.0709083286,0.0564806052,0.0671511650,0.9332414010,15.2200000000,#REF!,771067.8324839560,185045.2574992090,18.6909902645,4.1579377841,0.4874822318,0.0056900000,0.0393197707,Tort,Proportional Comparative Fault 50%,N,4551287.0000000000,201906.0377500000,22.5416092095
Texas,TX,2012.0000000000,Q1,2012 Q1,2098485.0000000000,209645249.0000000000,19446.0000000000,2098485.0000000000,280270875.0000000000,90234.0000000000,1326991.0000000000,43049952.0000000000,24286.0000000000,1671916.0000000000,121677755.0000000000,106779.0000000000,1635246.0000000000,317331374.0000000000,94807.0000000000,0.0092666853,0.0429995926,0.0183015559,0.0638662469,0.0579772095,10780.8931914018,3106.0451160317,1772.6242279503,1139.5288867661,3347.1302119042,99.9031439348,133.5586744723,32.4417814439,72.7774331964,194.0572696707,15674.1988663665,0.9067098807,0.0084021951,0.0389881554,0.0165942016,0.0579081571,0.0525685088,0.6938211488,0.3061788512,2831.1713255966,24.0250000000,28.4500000000,0.3028650530,0.7281747384,0.2718252616,0.0421539837,0.0543386975,0.9090280114,4.9650000000,#REF!,712507.6422148880,164399.2928898930,32.0946803959,7.6679903406,2.8920086053,0.0056525000,0.0343605716,Tort,Proportional Comparative Fault 51%,O,15154936.5000000000,674546.0137500000,22.4668683694
Utah,UT,2012.0000000000,Q1,2012 Q1,292678.0000000000,29564003.0000000000,2249.0000000000,292678.0000000000,28757513.0000000000,9862.0000000000,292678.0000000000,6877548.0000000000,5160.0000000000,239092.0000000000,12187973.0000000000,23496.0000000000,230019.0000000000,33522105.0000000000,10366.0000000000,0.0076842127,0.0336957339,0.0176302968,0.0982717950,0.0450658424,13145.3992885727,2915.9919894545,1332.8581395349,518.7254426285,3233.8515338607,101.0120439527,98.2564900676,23.4986845612,50.9760803373,145.7362435277,14961.4452745528,0.9499049540,0.0072992717,0.0320077445,0.0167471062,0.0933488649,0.0428082669,0.7154885615,0.2845114385,2882.4414183211,21.1250000000,24.6500000000,0.3224715584,0.7812386936,0.2187613064,0.0731044175,0.0494302426,0.8841334651,3.6450000000,#REF!,767010.7084145750,105857.6266182110,46.0080652164,9.2936989837,2.6488430499,0.0022125000,0.0364015992,No-Fault,Proportional Comparative Fault 50%,C,1757820.7500000000,96044.2222500000,18.3022019318
Vermont,VT,2012.0000000000,Q1,2012 Q1,52040.0000000000,4388211.0000000000,259.0000000000,52040.0000000000,4895187.0000000000,1657.0000000000,0.0000000000,0.0000000000,0.0000000000,43492.0000000000,1892506.0000000000,2986.0000000000,39225.0000000000,8188366.0000000000,2423.0000000000,0.0049769408,0.0318408916,0.0000000000,0.0686563046,0.0617718292,16942.8996138996,2954.2468316234,0.0000000000,633.7930341594,3379.4329343789,84.3238086088,94.0658531899,0.0000000000,43.5138876115,208.7537539834,13673.5024430662,1.0393789772,0.0051729277,0.0330947534,0.0000000000,0.0713599197,0.0642043406,0.2842975782,0.7157024218,3156.0968457841,18.0000000000,24.3500000000,0.2228918039,0.9364706728,0.0635293272,0.0391988589,0.0771496413,0.8412953592,13.4025000000,#REF!,668763.4840799960,196310.6490393600,45.7270895803,16.2537485912,8.6641481192,0.0044425000,0.0394240154,Tort,Proportional Comparative Fault 51%,N,523624.7500000000,29374.0332500000,17.8261100729
Virginia,VA,2012.0000000000,Q1,2012 Q1,1087168.0000000000,110303773.0000000000,9014.0000000000,1087168.0000000000,111155447.0000000000,40807.0000000000,0.0000000000,0.0000000000,0.0000000000,898131.0000000000,43086383.0000000000,51257.0000000000,850341.0000000000,135853471.0000000000,52622.0000000000,0.0082912669,0.0375351372,0.0000000000,0.0570707391,0.0618834091,12236.9395384957,2723.9308697037,0.0000000000,840.5950992060,2581.6858158185,101.4597311547,102.2431188188,0.0000000000,47.9733836155,159.7635195763,14762.8400573728,0.9626840723,0.0079818705,0.0361344787,0.0000000000,0.0549410915,0.0595741723,0.6835343945,0.3164656055,2936.3606769999,26.8250000000,30.6500000000,0.3116333702,0.7495059216,0.2504940784,0.0393053374,0.0582328909,0.8723445611,12.1075000000,#REF!,992998.7105430290,242324.5875977900,15.4562100541,18.3900253993,2.2297977925,0.0052800000,0.0321309717,Tort,Pure Contributory Negligence,O,5484903.7500000000,161456.7802500000,33.9713435478
Washington,WA,2012.0000000000,Q1,2012 Q1,671042.0000000000,93355374.0000000000,7033.0000000000,671042.0000000000,67948106.0000000000,23357.0000000000,622638.0000000000,33271464.0000000000,11089.0000000000,572977.0000000000,24864463.0000000000,38161.0000000000,516163.0000000000,82692268.0000000000,26270.0000000000,0.0104807151,0.0348070613,0.0178097064,0.0666012772,0.0508947755,13273.9050191952,2909.1110159695,3000.4025610966,651.5673855507,3147.7833269890,139.1200163328,101.2576053362,53.4362888227,43.3952200525,160.2057257107,10962.6313990720,1.2963996022,0.0135871948,0.0451238604,0.0230884963,0.0863418693,0.0659799667,0.7108320017,0.2891679983,2754.3093439767,25.0250000000,28.2125000000,0.3455139149,0.6837945698,0.3162054302,0.0385121835,0.0554148332,0.8332236926,11.0925000000,#REF!,778447.6317903520,134762.7327198690,51.8935059452,13.7325788124,3.8431524310,0.0030625000,0.0325774440,Tort,Pure Comparative Fault,O,5191064.0000000000,173629.1215000000,29.8974270857
West Virginia,WV,2012.0000000000,Q1,2012 Q1,212787.0000000000,24623112.0000000000,1831.0000000000,212787.0000000000,18773388.0000000000,6473.0000000000,0.0000000000,0.0000000000,0.0000000000,162089.0000000000,16296558.0000000000,10833.0000000000,144176.0000000000,26709905.0000000000,7484.0000000000,0.0086048490,0.0304200915,0.0000000000,0.0668336531,0.0519087782,13447.9038776625,2900.2607755291,0.0000000000,1504.3439490446,3568.9343933725,115.7171819707,88.2261980290,0.0000000000,100.5408016583,185.2590236933,16246.9764920089,0.8747443558,0.0075270431,0.0266098033,0.0000000000,0.0584623608,0.0454069107,0.4876467106,0.5123532894,3097.7541487151,21.2750000000,29.6000000000,0.2152425814,0.8233468565,0.1766531435,0.0466394638,0.0812050500,0.9254018788,13.6175000000,#REF!,799659.2965612850,144991.5399705820,43.0543524896,16.2982344513,2.2620699374,0.0044900000,0.0460070097,Tort,Proportional Comparative Fault 50%,N,1209524.3955000000,79661.9510000000,15.1832133197
Wisconsin,WI,2012.0000000000,Q1,2012 Q1,546143.0000000000,51367572.0000000000,2650.0000000000,546143.0000000000,38319727.0000000000,13895.0000000000,0.0000000000,0.0000000000,0.0000000000,482815.0000000000,21974643.0000000000,18195.0000000000,456176.0000000000,58666378.0000000000,20208.0000000000,0.0048522090,0.0254420546,0.0000000000,0.0376852418,0.0442986917,19383.9894339623,2757.8069089601,0.0000000000,1207.7297609233,2903.1263855899,94.0551687012,70.1642738257,0.0000000000,45.5135880203,128.6047008172,14229.8358262694,0.9987431449,0.0048461105,0.0254100776,0.0000000000,0.0376378769,0.0442430147,0.4723703513,0.5276296487,2361.5219380030,20.6250000000,24.3250000000,0.2715105193,0.5882102497,0.4117897503,0.0525127911,0.0705063663,0.8884460951,7.7325000000,#REF!,560250.9280991080,165935.9935774450,27.4810691345,3.8075007659,1.7674155079,0.0070000000,0.0408227671,Tort,Proportional Comparative Fault 51%,O,4124764.7500000000,237699.8515000000,17.3528284682
Wyoming,WY,2012.0000000000,Q1,2012 Q1,77305.0000000000,4734097.0000000000,352.0000000000,77305.0000000000,5892388.0000000000,1800.0000000000,0.0000000000,0.0000000000,0.0000000000,56689.0000000000,3688201.0000000000,3851.0000000000,54568.0000000000,8750481.0000000000,2358.0000000000,0.0045533924,0.0232843930,0.0000000000,0.0679320503,0.0432121390,13449.1392045455,3273.5488888889,0.0000000000,957.7255258374,3710.9758269720,61.2392083306,76.2225987970,0.0000000000,65.0602586040,160.3592031960,21931.0895875514,0.6480275833,0.0029507239,0.0150889289,0.0000000000,0.0440218424,0.0280026580,0.3007593584,0.6992406416,2422.7899852489,15.5500000000,22.7750000000,0.2681942864,0.7864722608,0.2135277392,0.0523922485,0.0651790995,0.8828260824,4.4525000000,#REF!,449644.9918516180,122785.4825068100,42.5697981683,8.2028076956,4.8706161140,0.0112950000,0.0339622149,Tort,Proportional Comparative Fault 51%,N,421841.0000000000,58997.7947500000,7.1501147083
Alabama,AL,2012.0000000000,Q2,2012 Q2,656251.0000000000,56765609.0000000000,4242.0000000000,656251.0000000000,59708254.0000000000,19736.0000000000,0.0000000000,0.0000000000,0.0000000000,507404.0000000000,41346852.0000000000,35530.0000000000,489332.0000000000,85941450.0000000000,27892.0000000000,0.0064639902,0.0300738589,0.0000000000,0.0700230980,0.0570001553,13381.8031588873,3025.3472841508,0.0000000000,1163.7166338306,3081.2222142550,86.4998438098,90.9838674532,0.0000000000,81.4870438546,175.6301447688,17030.4206953357,0.8345038117,0.0053942244,0.0250967499,0.0000000000,0.0584345422,0.0475668469,0.5576913233,0.4423086767,2762.8218407432,21.5500000000,27.8500000000,0.2484055935,0.7960501671,0.2039498329,0.0561222239,0.0823979874,0.9477688348,12.5175000000,#REF!,659079.3292029700,182862.8887112720,16.8695450486,2.8616468879,3.4029987999,0.0000750000,0.0385762790,Tort,Pure Contributory Negligence,N,3813037.0000000000,212089.5395000000,17.9784302846
Alaska,AK,2012.0000000000,Q2,2012 Q2,95628.0000000000,10911301.0000000000,676.0000000000,95628.0000000000,10484980.0000000000,3160.0000000000,0.0000000000,0.0000000000,0.0000000000,74532.0000000000,3991692.0000000000,7845.0000000000,65805.0000000000,9074773.0000000000,3371.0000000000,0.0070690593,0.0330447149,0.0000000000,0.1052568024,0.0512271104,16140.9778106509,3318.0316455696,0.0000000000,508.8198852772,2692.0121625630,114.1015288409,109.6434098800,0.0000000000,53.5567541459,137.9040042550,8957.5879830745,1.5865823491,0.0112156447,0.0524281615,0.0000000000,0.1669985849,0.0812760292,0.5634421820,0.4365578180,1642.5197208617,19.1000000000,19.6000000000,0.3523358386,0.4669827492,0.5330172508,0.0420954470,0.0312513409,0.8005374221,10.1950000000,#REF!,496591.3706111070,74956.0465604391,86.5020738916,48.6173796750,13.7560665346,0.0070450000,0.0395792840,Tort,Pure Comparative Fault,N,523825.5000000000,33347.1570000000,15.7082506314
Arizona,AZ,2012.0000000000,Q2,2012 Q2,674876.0000000000,92885675.0000000000,7137.0000000000,674876.0000000000,70470177.0000000000,22719.0000000000,0.0000000000,0.0000000000,0.0000000000,555399.0000000000,49097500.0000000000,97156.0000000000,538743.0000000000,79563042.0000000000,25439.0000000000,0.0105752761,0.0336639620,0.0000000000,0.1749300953,0.0472191750,13014.6665265518,3101.8168493332,0.0000000000,505.3470706904,3127.6010063289,137.6336912262,104.4194444609,0.0000000000,88.4004112359,147.6827392653,12886.2941411286,1.1028733963,0.0116631906,0.0371270881,0.0000000000,0.1929257483,0.0520767719,0.7487028757,0.2512971243,2310.0690529456,23.9000000000,28.8000000000,0.2736844169,0.8645728701,0.1354271299,0.0363464669,0.0595969096,0.8762464939,2.3300000000,#REF!,816037.4862742210,174658.2435281900,18.9595572788,2.3543697613,3.1245148397,0.0071950000,0.0359159673,Tort,Pure Comparative Fault,N,4644988.5000000000,141681.5600000000,32.7847074806
Arkansas,AR,2012.0000000000,Q2,2012 Q2,274673.0000000000,25721081.0000000000,2506.0000000000,274673.0000000000,26234694.0000000000,8378.0000000000,0.0000000000,0.0000000000,0.0000000000,202277.0000000000,14971048.0000000000,11869.0000000000,196596.0000000000,33135118.0000000000,10034.0000000000,0.0091235760,0.0305017239,0.0000000000,0.0586769628,0.0510386783,10263.7992817239,3131.3790880879,0.0000000000,1261.3571488752,3302.2840342834,93.6425531450,95.5124602709,0.0000000000,74.0126064753,168.5442124967,16693.5120793008,0.8513457754,0.0077673179,0.0259675138,0.0000000000,0.0499543844,0.0434515632,0.5088237472,0.4911762528,1763.6910031352,18.5500000000,24.8000000000,0.2308606267,0.6988514067,0.3011485933,0.0503933683,0.0778640727,0.9322479844,11.3500000000,#REF!,595737.2240597620,93368.2156141380,23.1406751142,8.4565175591,2.8849045354,0.0040850000,0.0435030345,Tort,Proportional Comparative Fault 50%,C,1991368.5000000000,204979.2950000000,9.7149738953
California,CA,2012.0000000000,Q2,2012 Q2,2893013.0000000000,340041288.0000000000,30612.0000000000,2893013.0000000000,338110100.0000000000,111794.0000000000,0.0000000000,0.0000000000,0.0000000000,2229715.0000000000,120292013.0000000000,123746.0000000000,2205227.0000000000,491196259.0000000000,141074.0000000000,0.0105813558,0.0386427576,0.0000000000,0.0554985727,0.0639725525,11108.1042728342,3024.4029196558,0.0000000000,972.0880917363,3481.8340658094,117.5388040081,116.8712688121,0.0000000000,53.9495016179,222.7418125209,13464.0410561623,1.0555486964,0.0111691364,0.0407893124,0.0000000000,0.0585814461,0.0675261444,0.8247000214,0.1752999786,3292.8265102981,27.2000000000,29.1000000000,0.3246006174,0.4848015769,0.5151984231,0.0365479116,0.0523761399,0.8441279691,4.0950000000,#REF!,1226682.3705147300,338760.4173179420,12.7632556412,5.6314533934,5.4776594391,0.0057450000,0.0339104909,Tort,Pure Comparative Fault,N,24028798.5000000000,388190.1765000000,61.8995532464
Colorado,CO,2012.0000000000,Q2,2012 Q2,665292.0000000000,74078627.0000000000,4392.0000000000,665292.0000000000,59006824.0000000000,20440.0000000000,0.0000000000,0.0000000000,0.0000000000,527886.0000000000,79493336.0000000000,76505.0000000000,519731.0000000000,66231159.0000000000,23318.0000000000,0.0066016125,0.0307233516,0.0000000000,0.1449271244,0.0448655170,16866.7183515483,2886.8309197652,0.0000000000,1039.0606627018,2840.3447551248,111.3475391257,88.6931212159,0.0000000000,150.5880739402,127.4335358099,12491.3304947456,1.1377451738,0.0075109528,0.0349553449,0.0000000000,0.1648901364,0.0510455254,0.6693177194,0.3306822806,3234.5237494336,23.9500000000,27.1000000000,0.3430438137,0.5798114904,0.4201885096,0.0400543348,0.0586070060,0.8465414189,3.5450000000,#REF!,711917.9184719460,110416.1680739270,16.9392218229,8.7534224120,3.1754714328,0.0071600000,0.0335261158,Tort,Proportional Comparative Fault 50%,N,3738744.5000000000,184036.6705000000,20.3152148419
Connecticut,CT,2012.0000000000,Q2,2012 Q2,367093.0000000000,81742379.0000000000,3613.0000000000,367093.0000000000,45402227.0000000000,14553.0000000000,0.0000000000,0.0000000000,0.0000000000,312788.0000000000,14463200.0000000000,19173.0000000000,277444.0000000000,51142835.0000000000,15771.0000000000,0.0098421926,0.0396439050,0.0000000000,0.0612971086,0.0568439036,22624.5167450872,3119.7847179276,0.0000000000,754.3524748344,3242.8403398643,222.6748507871,123.6804488236,0.0000000000,46.2396255611,184.3357037817,12584.1485757592,1.1293534004,0.0111153137,0.0447719789,0.0000000000,0.0692260980,0.0641968559,0.8578909343,0.1421090657,3560.9916196360,24.4000000000,28.1000000000,0.2821416581,0.6876245775,0.3123754225,0.0356648785,0.0718286007,0.8682087160,12.9250000000,#REF!,813567.3593535630,349742.8919128620,24.5574913313,3.4621481498,0.6046981583,0.0031500000,0.0321876139,Tort,Proportional Comparative Fault 51%,N,2477562.2500000000,45678.4400000000,54.2392045350
